Epoch,Item,Layer,Comprehensive Position,Layer-specific Position
100,Pine,layer1,"[ 1.2186635   0.44197094  0.31296343  0.7158387   0.1099433  -0.8749643
 -0.22506392 -1.1484236  -0.78952485 -1.6500944 ],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[ 1.2186633   0.44197097  0.3129634   0.7158386   0.10994328 -0.8749642
 -0.22506388 -1.1484237  -0.78952503 -1.6500945 ],[-0.5396124   2.0748887  -0.56776625  0.32133594  1.3306768   1.1998848
  1.286701    0.19715804  1.8309988   0.3620399 ],[ 0.18544503 -0.7022608   0.74916095 -0.00369583  0.0355914   0.40935418
 -0.31776065 -0.28434423  0.1013486  -0.39249817],[-0.51715916 -0.6032658  -0.36036488 -0.38700283  0.14381799  0.01607087
 -0.1537383  -0.61757845  0.47279713  0.91225535]"
100,Pine,layer2,"[ 1.2186635   0.44197094  0.31296343  0.7158387   0.1099433  -0.8749643
 -0.22506392 -1.1484236  -0.78952485 -1.6500944 ],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[ 1.2186633   0.44197097  0.3129634   0.71583855  0.10994328 -0.8749642
 -0.22506388 -1.1484237  -0.78952503 -1.6500945 ],[-0.5396124   2.0748887  -0.56776625  0.32133594  1.3306768   1.1998848
  1.286701    0.19715804  1.8309988   0.36203986],[ 1.087512    0.03473856  1.202205   -0.06131833 -0.76678115 -0.03346956
 -0.06321953  0.15185523 -0.5423274   0.31378776],[-0.21727853 -0.34230217 -0.36322966 -0.55115956 -0.28079912  0.12380576
 -0.85009867  0.02724924  0.73563206  0.8631946 ]"
100,Pine,layer3,"[ 1.2186635   0.44197094  0.31296343  0.7158387   0.1099433  -0.8749643
 -0.22506392 -1.1484236  -0.78952485 -1.6500944 ],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[ 1.2186633   0.441971    0.3129634   0.7158385   0.10994328 -0.8749642
 -0.22506389 -1.1484237  -0.78952503 -1.6500947 ],[-0.53961235  2.0748885  -0.56776625  0.32133594  1.3306769   1.1998848
  1.2867011   0.19715804  1.8309987   0.36203983],[ 0.5091518  -0.1558283  -0.13592127  0.02635025  0.12394917 -0.38900414
  0.38358045 -0.47864687  0.04546527 -0.11051775],[-0.21727851 -0.34230214 -0.3632297  -0.55115956 -0.28079912  0.12380576
 -0.85009867  0.02724924  0.735632    0.8631945 ]"
100,Pine,layer4,"[ 1.2186635   0.44197094  0.31296343  0.7158387   0.1099433  -0.8749643
 -0.22506392 -1.1484236  -0.78952485 -1.6500944 ],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[ 1.2186636   0.44197085  0.31296346  0.715839    0.10994335 -0.87496465
 -0.22506402 -1.1484231  -0.7895244  -1.6500937 ],[ 0.21787523 -0.20053037 -0.07198515 -0.10878112 -0.5775673  -0.41416463
  0.84550554 -1.0432179  -0.15314695 -0.06914464],[-0.15078577 -0.16996059  0.01097477  0.16945685  0.14939278 -0.05389547
 -0.14598912 -0.28371954 -0.48820272  0.38262   ],[-0.2172785  -0.34230226 -0.36322972 -0.55115926 -0.2807991   0.12380588
 -0.8500985   0.02724923  0.7356326   0.86319435]"
100,Oak,layer1,"[-1.5232879   0.48762062 -0.19355948 -1.03731     1.5748053  -1.6218714
  1.6142886   0.20788008  0.50228375  1.054836  ],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[-1.5232881   0.4876205  -0.19355945 -1.0373098   1.5748049  -1.6218711
  1.6142888   0.2078801   0.5022838   1.0548359 ],[-0.5396124   2.0748887  -0.56776625  0.32133594  1.3306768   1.1998848
  1.286701    0.19715804  1.8309988   0.3620399 ],[ 0.18544503 -0.7022608   0.74916095 -0.00369583  0.0355914   0.40935418
 -0.31776065 -0.28434423  0.1013486  -0.39249817],[-0.51715916 -0.6032658  -0.36036488 -0.38700283  0.14381799  0.01607087
 -0.1537383  -0.61757845  0.47279713  0.91225535]"
100,Oak,layer2,"[-1.5232879   0.48762062 -0.19355948 -1.03731     1.5748053  -1.6218714
  1.6142886   0.20788008  0.50228375  1.054836  ],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[-1.5232881   0.48762053 -0.19355945 -1.0373098   1.574805   -1.6218711
  1.6142888   0.2078801   0.5022838   1.0548359 ],[-0.5396124   2.0748887  -0.56776625  0.32133594  1.3306768   1.1998848
  1.286701    0.19715804  1.8309988   0.36203986],[ 1.087512    0.03473856  1.202205   -0.06131833 -0.76678115 -0.03346956
 -0.06321953  0.15185523 -0.5423274   0.31378776],[-0.21727853 -0.34230217 -0.36322966 -0.55115956 -0.28079912  0.12380576
 -0.85009867  0.02724924  0.73563206  0.8631946 ]"
100,Oak,layer3,"[-1.5232879   0.48762062 -0.19355948 -1.03731     1.5748053  -1.6218714
  1.6142886   0.20788008  0.50228375  1.054836  ],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[-1.523288    0.48762056 -0.19355944 -1.0373098   1.5748051  -1.6218711
  1.6142886   0.20788011  0.5022838   1.0548359 ],[-0.53961235  2.0748885  -0.56776625  0.32133594  1.3306769   1.1998848
  1.2867011   0.19715804  1.8309987   0.36203983],[ 0.5091518  -0.1558283  -0.13592127  0.02635025  0.12394917 -0.38900414
  0.38358045 -0.47864687  0.04546527 -0.11051775],[-0.21727851 -0.34230214 -0.3632297  -0.55115956 -0.28079912  0.12380576
 -0.85009867  0.02724924  0.735632    0.8631945 ]"
100,Oak,layer4,"[-1.5232879   0.48762062 -0.19355948 -1.03731     1.5748053  -1.6218714
  1.6142886   0.20788008  0.50228375  1.054836  ],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[-1.5232873   0.48762086 -0.19355957 -1.0373105   1.5748057  -1.6218718
  1.6142884   0.20788004  0.5022836   1.054836  ],[ 0.21787523 -0.20053037 -0.07198515 -0.10878112 -0.5775673  -0.41416463
  0.84550554 -1.0432179  -0.15314695 -0.06914464],[-0.15078577 -0.16996059  0.01097477  0.16945685  0.14939278 -0.05389547
 -0.14598912 -0.28371954 -0.48820272  0.38262   ],[-0.2172785  -0.34230226 -0.36322972 -0.55115926 -0.2807991   0.12380588
 -0.8500985   0.02724923  0.7356326   0.86319435]"
100,Rose,layer1,"[ 1.4503413  -0.68209296  1.0312705  -0.00323845 -0.21616784 -1.158156
  1.3244183  -1.0584421   0.27946895 -0.02300236],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[ 1.4503416  -0.6820929   1.0312706  -0.00323845 -0.21616787 -1.1581559
  1.3244185  -1.0584422   0.279469   -0.02300236],[-0.5396124   2.0748887  -0.56776625  0.32133594  1.3306768   1.1998848
  1.286701    0.19715804  1.8309988   0.3620399 ],[ 0.18544503 -0.7022608   0.74916095 -0.00369583  0.0355914   0.40935418
 -0.31776065 -0.28434423  0.1013486  -0.39249817],[-0.51715916 -0.6032658  -0.36036488 -0.38700283  0.14381799  0.01607087
 -0.1537383  -0.61757845  0.47279713  0.91225535]"
100,Rose,layer2,"[ 1.4503413  -0.68209296  1.0312705  -0.00323845 -0.21616784 -1.158156
  1.3244183  -1.0584421   0.27946895 -0.02300236],[-0.35024047  1.5060338  -0.44382098  0.21380669  0.8536158   0.7963724
  1.1764022  -0.11293595  1.3349624   0.25424373],[ 0.40783077 -0.24832779  0.45660487  0.03269824 -0.11446194 -0.01675375
 -0.03584722 -0.22371385 -0.22092906  0.04834796],[-0.29224867 -0.40754312 -0.36251348 -0.5101203  -0.17464483  0.09687207
 -0.6760086  -0.1339577   0.6699235   0.8754597 ]","[ 1.4503416  -0.6820929   1.0312706  -0.00323845 -0.21616787 -1.1581559
  1.3244185  -1.0584422   0.279469   -0.02300236],[-0.5396124   2.0748887  -0.56776625  0.32133594  1.3306768   1.1998848
  1.286701    0.19715804  1.8309988   0.36203986],[ 1.087512    0.03473856  1.202205   -0.06131833 -0.76678115 -0.03346956
 -0.06321953  0.15185523 -0.5423274   0.31378776],[-0.21727853 -0.34230217 -0.36322966 -0.55115956 -0.28079912  0.12380576
 -0.85009867  0.02724924  0.73563206  0.8631946 ]"
