Question,Answer
Pine ISA Living thing,Yes
Pine ISA Plant,Yes
Pine ISA Animal,No
Pine ISA Tree,Yes
Pine ISA Flower,No
Pine ISA Bird,No
Pine ISA Fish,No
Pine ISA Pine,Yes
Pine ISA Oak,No
Pine ISA Rose,No
Pine ISA Daisy,No
Pine ISA Robin,No
Pine ISA Canary,No
Pine ISA Sunfish,No
Pine ISA Salmon,No
Pine ISA Pretty,No
Pine ISA Big,No
Pine ISA Living,No
Pine ISA Green,No
Pine ISA Red,No
Pine ISA Yellow,No
Pine ISA Grow,No
Pine ISA Move,No
Pine ISA Swim,No
Pine ISA Fly,No
Pine ISA Sing,No
Pine ISA Skin,No
Pine ISA Roots,No
Pine ISA Leaves,No
Pine ISA Bark,No
Pine ISA Branch,No
Pine ISA Petals,No
Pine ISA Wings,No
Pine ISA Feathers,No
Pine ISA Gills,No
Pine ISA Scales,No
Pine Is Living thing,No
Pine Is Plant,No
Pine Is Animal,No
Pine Is Tree,No
Pine Is Flower,No
Pine Is Bird,No
Pine Is Fish,No
Pine Is Pine,No
Pine Is Oak,No
Pine Is Rose,No
Pine Is Daisy,No
Pine Is Robin,No
Pine Is Canary,No
Pine Is Sunfish,No
Pine Is Salmon,No
Pine Is Pretty,No
Pine Is Big,Yes
Pine Is Living,Yes
Pine Is Green,Yes
Pine Is Red,No
Pine Is Yellow,No
Pine Is Grow,No
Pine Is Move,No
Pine Is Swim,No
Pine Is Fly,No
Pine Is Sing,No
Pine Is Skin,No
Pine Is Roots,No
Pine Is Leaves,No
Pine Is Bark,No
Pine Is Branch,No
Pine Is Petals,No
Pine Is Wings,No
Pine Is Feathers,No
Pine Is Gills,No
Pine Is Scales,No
Pine Can Living thing,No
Pine Can Plant,No
Pine Can Animal,No
Pine Can Tree,No
Pine Can Flower,No
Pine Can Bird,No
Pine Can Fish,No
Pine Can Pine,No
Pine Can Oak,No
Pine Can Rose,No
Pine Can Daisy,No
Pine Can Robin,No
Pine Can Canary,No
Pine Can Sunfish,No
Pine Can Salmon,No
Pine Can Pretty,No
Pine Can Big,No
Pine Can Living,No
Pine Can Green,No
Pine Can Red,No
Pine Can Yellow,No
Pine Can Grow,Yes
Pine Can Move,No
Pine Can Swim,No
